sex	group	experiment duration	center time	sum corner time	min one corner time	max one corner time	average corner time	open_arms time	close_arms time	overall track length	center path	sum corner path	min one corner path	max one corner path	average corner path	 open_arms path	close_arms path	overall velocity	center velocity	max corner velocity	min corner velocity	average corner velocity	average open_arms velosity	average close_arms velocity	overall activity	center activity	min one corner activity	max one corner activity	open_arms	close_arms
male	control	300	57.6	242.4	25.1	168.6	66.1	51.4	212.8	1368.7	321.9	1046.9	74.4	573.3	261.7	162.3	884.6	4.3	6.1	7	2.8	4.2	3.2	5.2	55.4	69.5	47.5	68.5	55.9	58
male	control	300	76.7	233.2	21.6	88	58.3	61.6	172.1	2054.4	582.5	1471.5	73.8	641.3	367.9	204.8	1366.7	6.6	7.6	7.6	3.3	5.4	3.4	7.4	63.1	68.7	47.9	67.9	52.8	65.1
male	control	300	77.1	222.2	27.8	111.4	55.5	61.2	161	1805.5	593.4	1212.1	90	602.3	303	233.4	959.5	6	7.7	7.2	3.2	5	3.8	6.3	59.6	65.5	48.7	69.8	48.8	63.45
male	control	300	56.4	266.7	17.4	130.4	66.7	40.6	226.1	1371.9	205.3	1076.7	38.1	493.4	269.2	91.5	985.2	4.2	3.6	5.1	2.2	3.35	2.3	4.5	50.9	53.9	45.2	52.9	45.2	51.4
female	control	300	43.2	256.8	15.9	125.5	64.2	46.7	229.5	1570.6	248.4	1322.1	45.1	610.1	330.5	144.6	1177.5	4.9	5.7	5.9	2.8	4.1	3	5.2	48.2	59.8	41.9	49.5	44.7	46.8
female	control	300	49.2	258.6	18	135.2	64.7	39.2	219.4	1543.3	272.6	1270.9	66.5	687.5	371.7	139.5	1131.4	5	5.5	5.3	3.1	4.4	3.6	5.2	48.9	56.8	46.8	52.5	49.7	47.1
female	control	300	47.5	252.5	11.7	143.4	70.1	33.5	226.8	1358.1	227.7	1130.4	29.8	589.6	282.6	96	1034.4	4.1	4.8	5.7	2.5	3.6	2.6	4.4	45.8	53.6	36.1	55.5	45.8	45.8
female	control	300	56.7	243.3	12.4	161.4	60.1	54.3	198.9	836.9	189.8	647.2	38.3	291	161.8	176.8	470.4	2.7	3.3	4.8	1.8	3.3	3.2	3.3	35.9	48.5	23.8	55.8	44.9	39.8

